Struttura trapianto,Polmone,Polmone doppio,Cuore - polmone doppio,Totale Trapianti
"TO - AOU Città della Salute, PO S.G.Battista",7,14,0,21
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,1,13,0,14
MI - AO NIGUARDA CA' GRANDA - MILANO,1,0,0,1
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,3,8,0,11
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,2,5,0,7
PD - AZIENDA OSPEDALIERA DI PADOVA,7,12,0,19
BO - S.ORSOLA-MALPIGHI - BO,0,5,0,5
SI - A.O.U. SENESE - S.M. alle SCOTTE,3,6,0,9
RM - OSPEDALE PEDIATRICO BAMBINO GESU',0,1,1,2
RM - POLICLINICO UMBERTO I - ROMA,2,15,0,17
PA - Is.Me.T.T.,5,9,0,14
Totale,31,88,1,120
