Struttura trapianto,Pancreas,Rene - pancreas,Fegato - pancreas,Totale Trapianti
"TO - AOU Città della Salute, PO S.G.Battista",1,4,0,5
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,0,3,3,6
MI - AO NIGUARDA CA' GRANDA - MILANO,2,2,0,4
MI - IRCCS S. RAFFAELE - MILANO,7,7,0,14
PD - AZIENDA OSPEDALIERA DI PADOVA,0,9,0,9
GE - A.O.U. S. MARTINO - GENOVA,0,1,0,1
PR - OSPEDALE MAGGIORE - PARMA,0,2,0,2
PI - A.O.U. PISANA,2,7,0,9
RM - A.O. SAN CAMILLO - FORLANINI,0,2,0,2
PA - Is.Me.T.T.,1,2,0,3
CA - AZIENDA OSPEDALIERA G. BROTZU,0,4,0,4
Totale,13,43,3,59
