Struttura trapianto,Polmone,Polmone doppio,Cuore - polmone doppio,Totale Trapianti
"TO - AOU Città della Salute, PO S.G.Battista",2,18,0,20
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,4,6,0,10
MI - AO NIGUARDA CA' GRANDA - MILANO,1,1,0,2
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,11,17,0,28
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,5,2,0,7
PD - AZIENDA OSPEDALIERA DI PADOVA,8,13,0,21
BO - S.ORSOLA-MALPIGHI - BO,1,6,0,7
SI - A.O.U. SENESE - S.M. alle SCOTTE,1,10,0,11
RM - OSPEDALE PEDIATRICO BAMBINO GESU',0,0,1,1
RM - POLICLINICO UMBERTO I - ROMA,0,7,0,7
PA - Is.Me.T.T.,0,12,0,12
Totale,33,92,1,126
