Struttura trapianto,Fegato,Fegato - pancreas - intestino,Rene - fegato,Totale Trapianti
"TO - AOU Città della Salute, PO OIRM",0,0,1,1
"TO - AOU Città della Salute, PO S.G.Battista",131,0,4,135
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,76,0,0,76
MI - AO NIGUARDA CA' GRANDA - MILANO,106,0,3,109
MI - ISTITUTO NAZ.LE PER CURA TUMORI - MILANO,34,0,0,34
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,49,0,1,50
PD - AZIENDA OSPEDALIERA DI PADOVA,88,0,0,88
VR - OSPEDALE CIVILE MAGGIORE - VERONA,52,0,2,54
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,23,0,2,25
BO - S.ORSOLA-MALPIGHI - BO,106,1,1,108
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,32,0,0,32
PI - A.O.U. PISANA,136,0,0,136
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,35,0,0,35
RM - A.O. SAN CAMILLO - FORLANINI,34,0,0,34
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,37,0,2,39
RM - OSPEDALE PEDIATRICO BAMBINO GESU',22,0,1,23
RM - POLICLINICO UMBERTO I - ROMA,25,0,0,25
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",6,0,0,6
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,26,0,0,26
"RM - POLICLINICO UNIVERSITARIO A. GEMELLI, convenzione LAZIO",10,0,0,10
NA - AZIENDA OSPEDALIERA A. CARDARELLI,42,0,0,42
BA - AOU CONSORZIALE POLICLINICO di BARI,20,0,0,20
PA - Is.Me.T.T.,65,0,1,66
CA - AZIENDA OSPEDALIERA G. BROTZU,40,0,0,40
Totale,1195,1,18,1214
