Struttura trapianto,Fegato,Fegato - pancreas,Rene - fegato,Totale Trapianti
"TO - AOU Città della Salute, PO OIRM",0,0,1,1
"TO - AOU Città della Salute, PO S.G.Battista",148,0,4,152
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,92,0,3,95
MI - AO NIGUARDA CA' GRANDA - MILANO,119,1,1,121
MI - ISTITUTO NAZ.LE PER CURA TUMORI - MILANO,33,0,0,33
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,47,0,3,50
PD - AZIENDA OSPEDALIERA DI PADOVA,108,0,1,109
VR - OSPEDALE CIVILE MAGGIORE - VERONA,59,0,2,61
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,26,0,0,26
BO - S.ORSOLA-MALPIGHI - BO,80,0,0,80
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,50,0,1,51
PI - A.O.U. PISANA,142,0,0,142
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,43,0,0,43
RM - A.O. SAN CAMILLO - FORLANINI,26,0,0,26
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,25,0,0,25
RM - OSPEDALE PEDIATRICO BAMBINO GESU',24,1,2,27
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",4,0,0,4
RM - POLICLINICO UMBERTO I - ROMA,20,0,0,20
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,27,0,0,27
"RM - POLICLINICO UNIVERSITARIO A. GEMELLI, convenzione LAZIO",15,0,0,15
NA - AZIENDA OSPEDALIERA A. CARDARELLI,56,0,0,56
BA - AOU CONSORZIALE POLICLINICO di BARI,23,0,0,23
PA - Is.Me.T.T.,83,0,0,83
CA - AZIENDA OSPEDALIERA G. BROTZU,24,0,1,25
Totale,1274,2,19,1295
