Struttura trapianto,Polmone,Polmone doppio,Cuore - polmone doppio,Totale Trapianti
"TO - AOU Città della Salute, PO S.G.Battista",6,25,0,31
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,2,7,0,9
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,0,35,0,35
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,1,6,0,7
PD - AZIENDA OSPEDALIERA DI PADOVA,0,23,0,23
BO - S.ORSOLA-MALPIGHI - BO,0,6,0,6
SI - A.O.U. SENESE - S.M. alle SCOTTE,3,11,0,14
RM - OSPEDALE PEDIATRICO BAMBINO GESU',0,0,1,1
RM - POLICLINICO UMBERTO I - ROMA,2,7,0,9
PA - Is.Me.T.T.,0,9,0,9
Totale,14,129,1,144
