Struttura trapianto,Fegato,Fegato - pancreas - polmone doppio,Rene - fegato,Totale Trapianti
"TO - AOU Città della Salute, PO S.G.Battista",148,2,8,158
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,66,0,0,66
MI - AO NIGUARDA CA' GRANDA - MILANO,114,0,4,118
MI - ISTITUTO NAZ.LE PER CURA TUMORI - MILANO,29,0,0,29
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,40,0,0,40
PD - AZIENDA OSPEDALIERA DI PADOVA,91,0,2,93
VR - OSPEDALE CIVILE MAGGIORE - VERONA,39,0,0,39
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,25,0,1,26
BO - S.ORSOLA-MALPIGHI - BO,89,0,3,92
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,75,0,0,75
PI - A.O.U. PISANA,142,0,0,142
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,51,0,1,52
RM - A.O. SAN CAMILLO - FORLANINI,31,0,0,31
"RM - A.O. SAN CAMILLO - FORLANINI, convenzione LAZIO",3,0,0,3
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,17,0,0,17
RM - OSPEDALE PEDIATRICO BAMBINO GESU',27,0,1,28
RM - POLICLINICO UMBERTO I - ROMA,13,0,0,13
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",2,0,0,2
"RM - POLICLINICO UNIVERSITARIO A. GEMELLI, convenzione LAZIO",8,0,0,8
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,12,0,0,12
NA - AZIENDA OSPEDALIERA A. CARDARELLI,31,0,0,31
BA - AOU CONSORZIALE POLICLINICO di BARI,19,0,1,20
PA - Is.Me.T.T.,56,0,4,60
CA - AZIENDA OSPEDALIERA G. BROTZU,26,0,1,27
Totale,1154,2,26,1182
