Struttura trapianto,Polmone,Polmone doppio,Fegato - polmone doppio,Totale Trapianti
"TO - AOU Città della Salute, PO S.G.Battista",0,22,0,22
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,2,8,0,10
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,4,33,0,37
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,0,13,0,13
PD - AZIENDA OSPEDALIERA DI PADOVA,0,41,0,41
BO - S.ORSOLA-MALPIGHI - BO,0,5,0,5
SI - A.O.U. SENESE - S.M. alle SCOTTE,8,18,0,26
RM - OSPEDALE PEDIATRICO BAMBINO GESU',0,1,0,1
RM - POLICLINICO UMBERTO I - ROMA,0,3,0,3
PA - Is.Me.T.T.,1,14,1,16
Totale,15,158,1,174
